HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,SalePrice_binned,YearBuilt_ord,prediction_sale,prediction_price_binned
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,346017,High,4,366806.2354426668,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,150442,Low,3,160965.79788366705,Low
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,61946,Very Low,4,82693.72284510592,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165486,Low,4,190358.5645978353,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,311504,High,4,343369.77297200356,High
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,118584,Low,4,82693.72284510592,Very Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,326548,High,4,325551.9228303204,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,143362,Low,4,136128.98128994135,Very Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,172566,Low,4,204501.8238147064,Medium
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,99823,Very Low,5,108887.38704622677,Very Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,211504,Medium,3,195374.62705855863,Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,305309,High,5,293909.6735816607,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,145132,Low,4,136128.98128994135,Very Low
